conn_hash	stmt_id	exec_id	exec_time	sql_type	exe_status	db_ip	client_ip	client_host	app_name	db_user	sql_hash	from_tbs	select_cols	sql_stmt	stmt_bind_vars
conn_5529454220000871326	416	7	2024-11-14 20:53:59	SELECT	SUCCESS	192.168.95.25	10.0.110.150	host_56	app_3	user_7	hash_2215271475846452905	tbs_4	age	SELECT id FROM table_3 WHERE salary < 3466 AND salary < 3466 AND age > 28	bind_vars_example
conn_1817534240619149426	22	7	2024-11-14 20:53:59	DELETE	SUCCESS	192.168.59.178	10.0.114.0	host_52	app_2	user_9	hash_3513672142205792018	tbs_4	N/A	DELETE FROM table_4 WHERE age > 31 AND department = 'Engineering' AND name LIKE 'C%'	bind_vars_example
conn_7545743309401017887	580	10	2024-11-14 20:53:59	INSERT	FAILURE	192.168.12.25	10.0.23.26	host_23	app_1	user_6	hash_18395464452665118383	tbs_2	N/A	INSERT INTO table_4 (id, name, age, salary) VALUES (9, 'John Doe', 48, 3483)	bind_vars_example
conn_6340877832578077885	968	6	2024-11-14 20:53:59	INSERT	SUCCESS	192.168.122.77	10.0.211.156	host_94	app_3	user_2	hash_14849486891117390131	tbs_3	N/A	INSERT INTO table_4 (id, name, age, salary) VALUES (77, 'John Doe', 43, 3256)	bind_vars_example
conn_1557677204931568184	313	1	2024-11-14 20:53:59	SELECT	SUCCESS	192.168.31.237	10.0.222.244	host_95	app_2	user_2	hash_4093383787880211435	tbs_3	salary, name, age, salary	SELECT age, department, age, name FROM table_2 WHERE salary < 4854 AND department = 'HR'	bind_vars_example
conn_15049859679491617495	129	1	2024-11-14 20:53:59	SELECT	SUCCESS	192.168.138.3	10.0.222.236	host_70	app_3	user_5	hash_11246662737407504266	tbs_4	name	SELECT age FROM table_4 WHERE department = 'Engineering' AND age > 20	bind_vars_example
conn_14591129825799978847	882	6	2024-11-14 20:53:59	INSERT	SUCCESS	192.168.245.3	10.0.152.40	host_26	app_1	user_2	hash_11854624189053532824	tbs_4	N/A	INSERT INTO table_3 (id, name, age, salary) VALUES (75, 'John Doe', 34, 9103)	bind_vars_example
conn_1001982963711824849	205	1	2024-11-14 20:53:59	DELETE	SUCCESS	192.168.26.175	10.0.228.27	host_4	app_3	user_2	hash_12852292513349688094	tbs_4	N/A	DELETE FROM table_3 WHERE department = 'HR'	bind_vars_example
conn_2863125847503331652	267	7	2024-11-14 20:53:59	DELETE	FAILURE	192.168.181.16	10.0.96.18	host_20	app_3	user_2	hash_77779909897644987	tbs_3	N/A	DELETE FROM table_4 WHERE department = 'Engineering' AND name LIKE 'C%' AND department = 'Engineering'	bind_vars_example
conn_6810872924894328775	232	1	2024-11-14 20:53:59	UPDATE	FAILURE	192.168.13.92	10.0.217.187	host_86	app_3	user_2	hash_14424013025691431526	tbs_4	N/A	UPDATE table_3 SET salary = 4794 WHERE name LIKE 'B%' AND salary < 3298 AND age > 36	bind_vars_example
conn_9204084101266812330	565	7	2024-11-14 20:53:59	UPDATE	FAILURE	192.168.170.245	10.0.27.112	host_52	app_4	user_4	hash_14598535985164148555	tbs_2	N/A	UPDATE table_1 SET salary = 6766 WHERE salary < 3830 AND salary < 3830 AND age > 34	bind_vars_example
conn_6547267279836605739	636	9	2024-11-14 20:53:59	UPDATE	FAILURE	192.168.157.204	10.0.210.41	host_87	app_2	user_3	hash_12454522677167593764	tbs_1	N/A	UPDATE table_2 SET salary = 8954 WHERE name LIKE 'B%'	bind_vars_example
conn_15075168688350885751	946	8	2024-11-14 20:53:59	INSERT	FAILURE	192.168.168.20	10.0.204.177	host_57	app_3	user_3	hash_17750487358671035431	tbs_1	N/A	INSERT INTO table_4 (id, name, age, salary) VALUES (26, 'John Doe', 35, 9026)	bind_vars_example
conn_17266132590617240931	225	8	2024-11-14 20:53:59	DELETE	SUCCESS	192.168.34.229	10.0.230.19	host_55	app_1	user_7	hash_13460193291137863394	tbs_3	N/A	DELETE FROM table_1 WHERE age > 36 AND name LIKE 'B%' AND name LIKE 'B%'	bind_vars_example
conn_10946742913267584277	185	9	2024-11-14 20:53:59	UPDATE	FAILURE	192.168.253.215	10.0.131.47	host_95	app_1	user_6	hash_10098044723306505092	tbs_4	N/A	UPDATE table_4 SET salary = 3202 WHERE name LIKE 'B%'	bind_vars_example
conn_10524237135806521363	441	6	2024-11-14 20:53:59	UPDATE	FAILURE	192.168.228.32	10.0.194.52	host_17	app_1	user_3	hash_10086969605376310267	tbs_1	N/A	UPDATE table_3 SET salary = 8591 WHERE name LIKE 'A%'	bind_vars_example
conn_199234176403122514	341	8	2024-11-14 20:53:59	SELECT	FAILURE	192.168.182.22	10.0.49.220	host_68	app_1	user_1	hash_4751494840341779132	tbs_3	department, id, id, id	SELECT name, department FROM table_4 WHERE age > 43	bind_vars_example
conn_1379142797962843484	954	9	2024-11-14 20:53:59	SELECT	FAILURE	192.168.6.211	10.0.161.154	host_5	app_4	user_3	hash_17636912040794175690	tbs_3	department, department	SELECT name FROM table_1 WHERE name LIKE 'A%' AND age > 46	bind_vars_example
conn_1892089588549113750	46	4	2024-11-14 20:53:59	INSERT	FAILURE	192.168.77.89	10.0.121.220	host_13	app_1	user_2	hash_12219708607072655175	tbs_2	N/A	INSERT INTO table_4 (id, name, age, salary) VALUES (49, 'John Doe', 29, 8498)	bind_vars_example
conn_2403034567231126963	366	4	2024-11-14 20:53:59	DELETE	SUCCESS	192.168.154.210	10.0.115.227	host_37	app_3	user_9	hash_4987265430984021519	tbs_3	N/A	DELETE FROM table_1 WHERE age > 36 AND age > 36 AND age > 36	bind_vars_example
conn_1109690353838386570	352	1	2024-11-14 20:53:59	DELETE	SUCCESS	192.168.5.16	10.0.22.56	host_2	app_1	user_7	hash_785832785279646892	tbs_4	N/A	DELETE FROM table_2 WHERE department = 'Engineering' AND name LIKE 'B%'	bind_vars_example
conn_1440971226711763172	884	3	2024-11-14 20:53:59	UPDATE	FAILURE	192.168.20.170	10.0.165.34	host_47	app_1	user_8	hash_13193218760849001696	tbs_2	N/A	UPDATE table_2 SET salary = 5127 WHERE department = 'Sales' AND salary < 9290	bind_vars_example
conn_3221353629958269458	183	7	2024-11-14 20:53:59	UPDATE	FAILURE	192.168.123.164	10.0.134.111	host_4	app_1	user_4	hash_17086389300343507280	tbs_2	N/A	UPDATE table_4 SET salary = 8772 WHERE name LIKE 'B%'	bind_vars_example
conn_17697108166941367420	279	8	2024-11-14 20:53:59	UPDATE	SUCCESS	192.168.155.30	10.0.24.111	host_40	app_4	user_1	hash_2636978570621789409	tbs_2	N/A	UPDATE table_2 SET salary = 9073 WHERE name LIKE 'C%' AND department = 'Engineering' AND salary < 3831	bind_vars_example
conn_12197394125149544882	244	5	2024-11-14 20:53:59	DELETE	SUCCESS	192.168.219.87	10.0.117.252	host_86	app_1	user_5	hash_12055216567774026871	tbs_3	N/A	DELETE FROM table_1 WHERE name LIKE 'A%' AND name LIKE 'A%'	bind_vars_example
conn_12562351690379899594	713	6	2024-11-14 20:53:59	INSERT	FAILURE	192.168.238.19	10.0.56.123	host_44	app_3	user_4	hash_5805290658332248453	tbs_4	N/A	INSERT INTO table_2 (id, name, age, salary) VALUES (7, 'John Doe', 38, 9428)	bind_vars_example
conn_1826528391798627275	640	9	2024-11-14 20:53:59	DELETE	SUCCESS	192.168.245.215	10.0.5.61	host_26	app_2	user_2	hash_14723885416699071793	tbs_1	N/A	DELETE FROM table_3 WHERE name LIKE 'C%' AND age > 21 AND name LIKE 'C%'	bind_vars_example
conn_17719056945131216773	491	5	2024-11-14 20:53:59	UPDATE	FAILURE	192.168.172.94	10.0.51.22	host_28	app_4	user_5	hash_1048731068146410792	tbs_4	N/A	UPDATE table_3 SET salary = 8026 WHERE department = 'Engineering' AND department = 'Engineering'	bind_vars_example
conn_13928524520775537791	765	8	2024-11-14 20:53:59	INSERT	SUCCESS	192.168.161.51	10.0.248.67	host_19	app_2	user_9	hash_13160992535177860765	tbs_2	N/A	INSERT INTO table_3 (id, name, age, salary) VALUES (10, 'John Doe', 39, 5042)	bind_vars_example
conn_4749095501258382372	438	6	2024-11-14 20:53:59	DELETE	SUCCESS	192.168.124.92	10.0.192.232	host_26	app_2	user_7	hash_3850378863023068336	tbs_1	N/A	DELETE FROM table_4 WHERE name LIKE 'A%' AND name LIKE 'A%'	bind_vars_example
conn_11359070946484741751	902	3	2024-11-14 20:53:59	UPDATE	FAILURE	192.168.235.9	10.0.238.233	host_23	app_4	user_7	hash_797718849272861090	tbs_3	N/A	UPDATE table_1 SET salary = 4060 WHERE age > 22 AND name LIKE 'B%' AND age > 22	bind_vars_example
conn_1645564303413003212	28	9	2024-11-14 20:53:59	UPDATE	FAILURE	192.168.30.213	10.0.145.86	host_86	app_4	user_5	hash_13991137868610933275	tbs_1	N/A	UPDATE table_4 SET salary = 9518 WHERE salary < 8552 AND salary < 8552 AND department = 'Engineering'	bind_vars_example
conn_1591005919700149416	715	7	2024-11-14 20:53:59	INSERT	FAILURE	192.168.129.93	10.0.189.57	host_8	app_1	user_4	hash_5498521587411653962	tbs_4	N/A	INSERT INTO table_1 (id, name, age, salary) VALUES (46, 'John Doe', 49, 3050)	bind_vars_example
conn_6640753199268256709	29	3	2024-11-14 20:53:59	SELECT	SUCCESS	192.168.68.252	10.0.190.235	host_14	app_2	user_4	hash_9426244547585529994	tbs_1	age, salary	SELECT salary FROM table_3 WHERE salary < 5400	bind_vars_example
conn_8425157004585191279	946	9	2024-11-14 20:53:59	SELECT	FAILURE	192.168.186.108	10.0.202.30	host_84	app_2	user_4	hash_4734820496560055299	tbs_4	id, age, salary, age	SELECT department, department FROM table_2 WHERE department = 'HR' AND age > 41	bind_vars_example
conn_16126029196074640294	433	10	2024-11-14 20:53:59	INSERT	FAILURE	192.168.214.241	10.0.65.82	host_95	app_4	user_4	hash_6834234760890316959	tbs_4	N/A	INSERT INTO table_1 (id, name, age, salary) VALUES (63, 'John Doe', 46, 6905)	bind_vars_example
conn_618528363258435157	330	10	2024-11-14 20:53:59	DELETE	SUCCESS	192.168.196.213	10.0.29.93	host_7	app_3	user_1	hash_16245203893145828257	tbs_3	N/A	DELETE FROM table_4 WHERE department = 'HR' AND age > 27	bind_vars_example
conn_10338602426889409014	373	7	2024-11-14 20:53:59	SELECT	FAILURE	192.168.133.195	10.0.125.95	host_50	app_3	user_2	hash_1122545190743434431	tbs_4	id, age	SELECT department FROM table_3 WHERE name LIKE 'A%' AND salary < 6267 AND salary < 6267	bind_vars_example
conn_13024504790954379037	917	3	2024-11-14 20:53:59	SELECT	FAILURE	192.168.47.128	10.0.5.156	host_17	app_3	user_8	hash_17234027599823009905	tbs_3	name, age, department, salary	SELECT salary FROM table_3 WHERE age > 23	bind_vars_example
conn_361608436110023594	532	2	2024-11-14 20:53:59	INSERT	SUCCESS	192.168.228.13	10.0.136.13	host_83	app_3	user_6	hash_6959887092979381901	tbs_1	N/A	INSERT INTO table_1 (id, name, age, salary) VALUES (48, 'John Doe', 30, 9692)	bind_vars_example
conn_3149322942790717174	763	3	2024-11-14 20:53:59	UPDATE	FAILURE	192.168.202.200	10.0.188.43	host_24	app_3	user_2	hash_11877160550437413131	tbs_3	N/A	UPDATE table_2 SET salary = 9046 WHERE age > 21 AND department = 'Engineering' AND department = 'Engineering'	bind_vars_example
conn_11400101461852147801	785	9	2024-11-14 20:53:59	INSERT	SUCCESS	192.168.87.107	10.0.139.229	host_71	app_2	user_3	hash_5481225251697306696	tbs_3	N/A	INSERT INTO table_2 (id, name, age, salary) VALUES (21, 'John Doe', 20, 5311)	bind_vars_example
conn_12310731854213610283	215	4	2024-11-14 20:53:59	SELECT	FAILURE	192.168.20.75	10.0.187.21	host_77	app_4	user_5	hash_14041737152135594253	tbs_2	age, id	SELECT name, name, name FROM table_1 WHERE age > 26 AND salary < 3975 AND salary < 3975	bind_vars_example
conn_3642376786559970706	675	4	2024-11-14 20:53:59	DELETE	SUCCESS	192.168.221.28	10.0.30.145	host_18	app_3	user_1	hash_1750336515864124772	tbs_3	N/A	DELETE FROM table_1 WHERE age > 49	bind_vars_example
conn_15464252830213786414	246	1	2024-11-14 20:53:59	DELETE	SUCCESS	192.168.209.168	10.0.54.136	host_70	app_2	user_6	hash_1447971635698539816	tbs_2	N/A	DELETE FROM table_3 WHERE name LIKE 'C%' AND age > 38 AND salary < 7745	bind_vars_example
conn_14325731381859285744	636	5	2024-11-14 20:53:59	SELECT	FAILURE	192.168.33.35	10.0.106.50	host_84	app_3	user_1	hash_6475227122666435958	tbs_3	name, name, name	SELECT age FROM table_3 WHERE age > 22	bind_vars_example
conn_9645404234298705003	355	9	2024-11-14 20:53:59	SELECT	SUCCESS	192.168.164.113	10.0.145.200	host_61	app_4	user_5	hash_16210514529674696131	tbs_4	name, id, salary	SELECT age, id, id, age FROM table_2 WHERE department = 'Sales' AND salary < 7153 AND salary < 7153	bind_vars_example
conn_7219299652948515240	484	8	2024-11-14 20:53:59	INSERT	SUCCESS	192.168.216.148	10.0.6.242	host_69	app_1	user_4	hash_14601623548112004992	tbs_2	N/A	INSERT INTO table_2 (id, name, age, salary) VALUES (52, 'John Doe', 26, 9823)	bind_vars_example
conn_16862338521380758597	37	7	2024-11-14 20:53:59	INSERT	SUCCESS	192.168.247.117	10.0.167.99	host_3	app_3	user_1	hash_1797929729231651963	tbs_4	N/A	INSERT INTO table_1 (id, name, age, salary) VALUES (51, 'John Doe', 22, 3745)	bind_vars_example
conn_18319871315991218059	823	7	2024-11-14 20:53:59	SELECT	FAILURE	192.168.88.95	10.0.251.162	host_32	app_4	user_5	hash_13593629996772683346	tbs_2	department	SELECT id, name, department, id FROM table_3 WHERE salary < 5950	bind_vars_example
conn_11159796588617418310	645	6	2024-11-14 20:53:59	UPDATE	SUCCESS	192.168.50.178	10.0.210.182	host_30	app_4	user_5	hash_11458792364879198357	tbs_1	N/A	UPDATE table_3 SET salary = 9673 WHERE salary < 6510	bind_vars_example
conn_7513337808175819747	1000	6	2024-11-14 20:53:59	INSERT	FAILURE	192.168.76.121	10.0.40.150	host_22	app_3	user_9	hash_13717824706428597653	tbs_3	N/A	INSERT INTO table_2 (id, name, age, salary) VALUES (21, 'John Doe', 36, 7885)	bind_vars_example
conn_16955514808989284279	452	2	2024-11-14 20:53:59	SELECT	FAILURE	192.168.230.195	10.0.67.29	host_91	app_3	user_8	hash_11255145609455450795	tbs_4	age, id	SELECT age, id, department FROM table_3 WHERE age > 36 AND department = 'Engineering'	bind_vars_example
conn_10182851447926753701	86	4	2024-11-14 20:53:59	DELETE	SUCCESS	192.168.223.36	10.0.93.186	host_87	app_3	user_9	hash_13514036841275999849	tbs_3	N/A	DELETE FROM table_1 WHERE age > 22 AND salary < 3343 AND age > 22	bind_vars_example
conn_8672572905416684297	586	5	2024-11-14 20:53:59	INSERT	FAILURE	192.168.11.57	10.0.151.39	host_3	app_2	user_3	hash_5926628824042271295	tbs_2	N/A	INSERT INTO table_4 (id, name, age, salary) VALUES (89, 'John Doe', 36, 7927)	bind_vars_example
conn_7223727943799763085	476	6	2024-11-14 20:53:59	DELETE	SUCCESS	192.168.100.185	10.0.201.97	host_61	app_2	user_7	hash_15779647783236681894	tbs_1	N/A	DELETE FROM table_2 WHERE salary < 9479 AND salary < 9479	bind_vars_example
conn_5679266643069981960	698	4	2024-11-14 20:53:59	UPDATE	FAILURE	192.168.153.217	10.0.185.79	host_94	app_4	user_7	hash_4857266993508831126	tbs_2	N/A	UPDATE table_4 SET salary = 4915 WHERE salary < 4088 AND department = 'Engineering' AND name LIKE 'B%'	bind_vars_example
conn_14276171622467926156	822	10	2024-11-14 20:53:59	INSERT	FAILURE	192.168.104.56	10.0.134.68	host_72	app_1	user_2	hash_984727300958549588	tbs_1	N/A	INSERT INTO table_1 (id, name, age, salary) VALUES (32, 'John Doe', 37, 6349)	bind_vars_example
conn_8995743437556035813	662	10	2024-11-14 20:53:59	DELETE	SUCCESS	192.168.153.49	10.0.50.30	host_16	app_1	user_1	hash_10399980509308036052	tbs_2	N/A	DELETE FROM table_2 WHERE age > 28	bind_vars_example
conn_17437708973487617144	877	10	2024-11-14 20:53:59	UPDATE	FAILURE	192.168.31.60	10.0.83.228	host_65	app_3	user_5	hash_1120420064728343061	tbs_3	N/A	UPDATE table_2 SET salary = 3463 WHERE salary < 3252 AND name LIKE 'B%' AND salary < 3252	bind_vars_example
conn_12453579869863206866	433	10	2024-11-14 20:53:59	INSERT	SUCCESS	192.168.42.29	10.0.11.146	host_73	app_3	user_3	hash_11820641688568928045	tbs_1	N/A	INSERT INTO table_3 (id, name, age, salary) VALUES (18, 'John Doe', 40, 6318)	bind_vars_example
conn_10527097020406392622	348	9	2024-11-14 20:53:59	SELECT	FAILURE	192.168.156.55	10.0.201.193	host_6	app_3	user_3	hash_8346355859365820394	tbs_4	id, name	SELECT age FROM table_2 WHERE age > 46 AND name LIKE 'A%' AND salary < 7052	bind_vars_example
conn_16849458017539851501	857	5	2024-11-14 20:53:59	DELETE	FAILURE	192.168.84.243	10.0.101.12	host_18	app_2	user_7	hash_5227093052981237237	tbs_4	N/A	DELETE FROM table_4 WHERE department = 'Sales' AND department = 'Sales' AND age > 46	bind_vars_example
conn_10088321720215014220	553	4	2024-11-14 20:53:59	DELETE	FAILURE	192.168.14.55	10.0.154.22	host_77	app_2	user_9	hash_13985922085645415897	tbs_1	N/A	DELETE FROM table_3 WHERE age > 20 AND name LIKE 'A%' AND name LIKE 'A%'	bind_vars_example
conn_9662205574956278250	876	8	2024-11-14 20:53:59	DELETE	SUCCESS	192.168.54.75	10.0.97.25	host_4	app_2	user_3	hash_7848142705959132400	tbs_2	N/A	DELETE FROM table_4 WHERE name LIKE 'B%'	bind_vars_example
conn_12306855382335734274	337	9	2024-11-14 20:53:59	UPDATE	SUCCESS	192.168.169.128	10.0.230.161	host_7	app_3	user_1	hash_7964210773794397209	tbs_2	N/A	UPDATE table_2 SET salary = 5147 WHERE age > 39	bind_vars_example
conn_9824464218728628554	503	5	2024-11-14 20:53:59	SELECT	FAILURE	192.168.228.126	10.0.114.128	host_87	app_4	user_9	hash_338865524885766748	tbs_2	name, name, department	SELECT name, id, name, id FROM table_4 WHERE name LIKE 'C%'	bind_vars_example
conn_14093808536390186846	780	10	2024-11-14 20:53:59	UPDATE	SUCCESS	192.168.54.71	10.0.205.205	host_83	app_1	user_1	hash_3410560352356365715	tbs_3	N/A	UPDATE table_4 SET salary = 8601 WHERE department = 'Sales' AND age > 34	bind_vars_example
conn_3864627036018018676	589	1	2024-11-14 20:53:59	DELETE	FAILURE	192.168.137.236	10.0.152.230	host_99	app_3	user_5	hash_6594408281957783858	tbs_1	N/A	DELETE FROM table_4 WHERE name LIKE 'A%' AND salary < 6620 AND salary < 6620	bind_vars_example
conn_6129030868908419846	786	10	2024-11-14 20:53:59	UPDATE	SUCCESS	192.168.229.236	10.0.2.200	host_32	app_4	user_2	hash_12456761176982692666	tbs_4	N/A	UPDATE table_2 SET salary = 7736 WHERE department = 'HR' AND department = 'HR'	bind_vars_example
conn_17391725080085398095	661	9	2024-11-14 20:53:59	DELETE	SUCCESS	192.168.70.202	10.0.77.84	host_77	app_1	user_3	hash_18193523952755241005	tbs_1	N/A	DELETE FROM table_4 WHERE age > 32 AND salary < 4882 AND salary < 4882	bind_vars_example
conn_3497402985993604476	886	10	2024-11-14 20:53:59	SELECT	FAILURE	192.168.125.85	10.0.216.39	host_18	app_3	user_4	hash_17475669576381348243	tbs_2	age, age	SELECT id FROM table_4 WHERE age > 24 AND department = 'Sales'	bind_vars_example
conn_17062655264205728709	245	7	2024-11-14 20:53:59	INSERT	FAILURE	192.168.22.75	10.0.186.198	host_72	app_4	user_8	hash_6136921355004945508	tbs_4	N/A	INSERT INTO table_2 (id, name, age, salary) VALUES (35, 'John Doe', 43, 8043)	bind_vars_example
conn_1811314120130503881	210	2	2024-11-14 20:53:59	INSERT	FAILURE	192.168.175.203	10.0.93.195	host_79	app_3	user_6	hash_1647860020560082099	tbs_4	N/A	INSERT INTO table_3 (id, name, age, salary) VALUES (46, 'John Doe', 43, 9236)	bind_vars_example
conn_5770200353407533524	543	10	2024-11-14 20:53:59	SELECT	SUCCESS	192.168.187.43	10.0.37.202	host_66	app_1	user_9	hash_9915016793417497706	tbs_1	department	SELECT age FROM table_1 WHERE name LIKE 'C%' AND department = 'HR' AND salary < 5128	bind_vars_example
conn_4613741181131413012	595	8	2024-11-14 20:53:59	UPDATE	FAILURE	192.168.135.245	10.0.202.93	host_70	app_4	user_3	hash_1255498439107978304	tbs_2	N/A	UPDATE table_2 SET salary = 8403 WHERE name LIKE 'B%' AND salary < 8137	bind_vars_example
conn_3836162874102543044	170	9	2024-11-14 20:53:59	SELECT	SUCCESS	192.168.214.53	10.0.239.127	host_60	app_2	user_7	hash_14392934377815288623	tbs_3	id, name, id	SELECT id FROM table_3 WHERE age > 31	bind_vars_example
conn_8434175015230662582	241	8	2024-11-14 20:53:59	SELECT	SUCCESS	192.168.187.226	10.0.13.128	host_86	app_3	user_1	hash_14204518527060533182	tbs_4	name, name	SELECT age FROM table_2 WHERE name LIKE 'C%'	bind_vars_example
conn_11418221754273002655	818	10	2024-11-14 20:53:59	SELECT	FAILURE	192.168.95.208	10.0.240.1	host_92	app_2	user_7	hash_10884359179493109464	tbs_4	name, department	SELECT salary, id FROM table_3 WHERE department = 'Sales' AND age > 44 AND name LIKE 'C%'	bind_vars_example
conn_3856014474607638305	580	7	2024-11-14 20:53:59	INSERT	FAILURE	192.168.221.28	10.0.167.92	host_8	app_3	user_1	hash_16985853988436030751	tbs_3	N/A	INSERT INTO table_1 (id, name, age, salary) VALUES (13, 'John Doe', 38, 8164)	bind_vars_example
conn_772330189623955732	548	8	2024-11-14 20:53:59	DELETE	FAILURE	192.168.132.158	10.0.212.157	host_45	app_3	user_6	hash_9484372365956035053	tbs_3	N/A	DELETE FROM table_4 WHERE name LIKE 'B%'	bind_vars_example
conn_17355358981946748003	840	10	2024-11-14 20:53:59	INSERT	SUCCESS	192.168.171.17	10.0.236.36	host_60	app_3	user_9	hash_15222806878715940819	tbs_4	N/A	INSERT INTO table_3 (id, name, age, salary) VALUES (8, 'John Doe', 27, 7173)	bind_vars_example
conn_13459560507161031271	433	4	2024-11-14 20:53:59	INSERT	SUCCESS	192.168.227.211	10.0.230.101	host_58	app_3	user_5	hash_5099154641430648571	tbs_2	N/A	INSERT INTO table_1 (id, name, age, salary) VALUES (53, 'John Doe', 27, 6659)	bind_vars_example
conn_18330133494734651545	140	2	2024-11-14 20:53:59	DELETE	SUCCESS	192.168.70.94	10.0.13.254	host_84	app_3	user_9	hash_5467721355509507820	tbs_2	N/A	DELETE FROM table_1 WHERE name LIKE 'C%'	bind_vars_example
conn_17804082280699638487	199	4	2024-11-14 20:53:59	DELETE	SUCCESS	192.168.194.161	10.0.109.136	host_46	app_2	user_7	hash_3862597049814897645	tbs_3	N/A	DELETE FROM table_1 WHERE department = 'HR'	bind_vars_example
conn_10416415424217310259	577	1	2024-11-14 20:53:59	SELECT	SUCCESS	192.168.53.89	10.0.228.112	host_95	app_1	user_8	hash_4842178936218897365	tbs_3	department	SELECT salary FROM table_4 WHERE department = 'HR' AND name LIKE 'A%' AND salary < 5068	bind_vars_example
conn_9138477043518753888	45	9	2024-11-14 20:53:59	SELECT	FAILURE	192.168.91.19	10.0.208.58	host_43	app_4	user_3	hash_1209154785658026523	tbs_3	name	SELECT age, id, department FROM table_1 WHERE age > 33 AND age > 33	bind_vars_example
conn_15522502939993221261	941	3	2024-11-14 20:53:59	DELETE	FAILURE	192.168.162.156	10.0.88.200	host_66	app_2	user_1	hash_3148307337790825229	tbs_1	N/A	DELETE FROM table_3 WHERE age > 33 AND salary < 9468	bind_vars_example
conn_13498602177549869108	895	7	2024-11-14 20:53:59	DELETE	SUCCESS	192.168.214.76	10.0.120.46	host_8	app_1	user_2	hash_5325096853130831079	tbs_3	N/A	DELETE FROM table_3 WHERE name LIKE 'C%'	bind_vars_example
conn_15847098365832093481	404	2	2024-11-14 20:53:59	INSERT	SUCCESS	192.168.178.108	10.0.36.82	host_34	app_1	user_5	hash_12373930089778375406	tbs_4	N/A	INSERT INTO table_3 (id, name, age, salary) VALUES (45, 'John Doe', 25, 4414)	bind_vars_example
